player_name,comment,date,platform,sentiment,confidence
김민재,부상에서 돌아온 후 첫 경기부터 존재감 자체가 다름,2026-03-16,에펨코리아,긍정,0.9313
손흥민,손흥민 이 나이에 MLS까지 건너가서도 저렇게 뛰는 거 진짜 레전드임,2026-04-06,에펨코리아,긍정,0.8959
황희찬,황희찬 이번 시즌 골 수 보면 EPL에서 확실히 자리 잡은 거임,2026-05-11,네이버,긍정,0.8824
김민재,아시아 최고 수비수라는 말이 과장이 아니라는 걸 경기마다 증명함,2026-01-16,네이버,긍정,0.8471
황희찬,빅클럽 선수들 상대로도 저런 스피드를 유지하는 게 진짜 대단함,2026-04-06,에펨코리아,긍정,0.9325
황희찬,한국 공격수 중에서 유럽 적응 제일 잘 한 선수라고 생각함,2026-03-29,트위터,긍정,0.9229
황희찬,울버햄튼 팬들이 황희찬 사랑하는 이유를 경기 보면 바로 알 수 있음,2026-04-07,에펨코리아,긍정,0.9296
설영우,드디어 해외 진출 성공한 거 진짜 축하함 오래 기다렸음,2026-05-13,네이버,긍정,0.9211
손흥민,유럽에서 15년 버티고 MLS까지 커리어 이어가는 선수가 몇 명이나 됨,2026-02-07,네이버,긍정,0.8038
황희찬,이름값이나 화제성 없이 실력으로만 EPL에서 살아남은 게 존경스러움,2026-02-27,에펨코리아,긍정,0.8418
김민재,김민재 들어오면 뮌헨 수비가 확 안정되는 게 눈에 보임,2026-04-06,에펨코리아,긍정,0.9043
김민재,공중볼 장악력은 세계 최고 수비수 수준이라고 봄,2026-05-17,네이버,긍정,0.8892
황희찬,황희찬 스프린트 보면 EPL 공격수 중에서도 탑 클래스 수준임,2026-03-07,에펨코리아,긍정,0.8623
황희찬,꾸준히 골 넣고 어시스트 올리는 거 보면 진짜 프로다운 선수임,2026-03-06,네이버,긍정,0.8538
손흥민,LAFC에서 어제 골 장면 보고 소름 돋았음 아직도 저 움직임이 나오네,2026-04-11,트위터,긍정,0.8413
손흥민,MLS 팬들이 손흥민 보러 경기장 가득 찬다고 하더라 대단한 선수임,2026-05-27,트위터,긍정,0.8335
손흥민,아시아 선수 중 유럽에서 저렇게 오래 뛰고 MLS까지 간 선수가 없음,2026-04-16,에펨코리아,긍정,0.9105
김민재,부상 딛고 복귀한 것만으로도 정신력이 진짜 대단함,2026-04-17,트위터,긍정,0.887
이강인,국대 선배들한테 그런 행동 한 거 팬으로서 진짜 실망스러웠음,2026-03-12,네이버,부정,0.8286
김민재,김민재 없는 뮌헨 수비랑 있는 뮌헨 수비는 차원이 다름,2026-03-26,네이버,긍정,0.8684
김민재,독일 분데스리가에서 한국 수비수가 이 위치에 있다는 게 자랑스러움,2026-04-19,에펨코리아,긍정,0.926
설영우,즈베즈다에서 설영우 경기 보면 크로스 질이 유럽 풀백 수준임,2026-05-26,트위터,긍정,0.9095
손흥민,35살에도 이 스피드 유지하는 건 진짜 자기 관리의 결정체임,2026-05-20,에펨코리아,긍정,0.9015
김민재,복귀 후 클리어링 하나하나에서 안정감이 느껴짐,2026-03-03,에펨코리아,긍정,0.9417
설영우,세르비아 리그에서도 적응 빠르게 하는 거 보면 기량은 확실함,2026-04-23,네이버,긍정,0.8804
손흥민,LAFC에서 손흥민 없었으면 플레이오프도 힘들었을 것 같음,2026-03-27,네이버,긍정,0.9338
이강인,실력은 있는데 그 사건 이후로 응원하기가 찜찜해짐,2026-04-06,트위터,부정,0.8026
설영우,해외 진출 첫 시즌에 주전 잡은 거 대단한 거 맞음,2026-04-28,에펨코리아,긍정,0.946
이강인,축구는 잘해도 인성 문제가 계속 발목 잡는 느낌,2026-02-04,트위터,부정,0.8776
황희찬,국대에서도 황희찬이 공격 에이스 역할 해줘야 한다고 봄,2026-01-16,트위터,긍정,0.9326
손흥민,골 장면마다 여전히 심장이 쫄깃해지는 선수임,2026-02-19,에펨코리아,긍정,0.813
손흥민,한국 축구 역사에 손흥민 같은 선수는 다시 안 나올 것 같음,2026-05-17,에펨코리아,긍정,0.8633
김민재,뮌헨 팬들이 김민재 복귀에 환호한 이유를 경기 보면 알 것 같음,2026-01-11,네이버,긍정,0.8711
황희찬,묵묵히 잘하는 스타일이 진짜 프로 중의 프로라는 생각이 듦,2026-02-11,에펨코리아,긍정,0.9437
이강인,PSG에서 잘한다고 팬들이랑 갈등 사건이 없어지는 건 아니지,2026-01-16,에펨코리아,부정,0.7909
손흥민,대표팀 은퇴 후에도 LAFC에서 이런 활약을 보이다니 진짜 프로임,2026-03-30,네이버,긍정,0.8045
손흥민,MLS에서도 클래스는 클래스임 어시스트 센스가 아직도 최정상급,2026-05-09,트위터,긍정,0.8328
이강인,국대 복귀하면 또 잡음 생길까봐 걱정됨,2026-03-23,트위터,부정,0.8604
김민재,한국 수비수 중 역대 최고라는 평가가 빈말이 아님,2026-05-21,트위터,긍정,0.8996
황희찬,EPL에서 이렇게 오래 살아남은 한국 공격수가 몇 명이나 되겠어,2026-02-10,에펨코리아,긍정,0.8226
황희찬,시끄럽지 않게 매 경기 꾸준히 기여하는 선수라 팬으로서 믿음이 감,2026-05-23,에펨코리아,긍정,0.8264
설영우,즈베즈다에서 잘 해주면 더 큰 리그로 이적 가능성 있음,2026-04-26,네이버,긍정,0.8568
이강인,아직도 그 사건 생각하면 전적으로 믿기가 어려움,2026-01-12,에펨코리아,부정,0.8349
설영우,국대에서도 이제 해외파로서 더 많이 뛰어야 한다고 생각함,2026-04-17,네이버,긍정,0.8828
이강인,태도 문제가 진짜 고쳐진 건지 아직도 확신이 없어,2026-01-30,네이버,부정,0.7887
손흥민,손흥민 있는 LAFC랑 없는 LAFC는 완전히 다른 팀임,2026-05-07,트위터,긍정,0.8758
이강인,팬들이랑 갈등 이후로 이강인 기사 볼 때마다 조심스러움,2026-04-30,트위터,부정,0.8561
이강인,실력 있는 거 알겠는데 팬으로서 응원에 확신이 안 생김,2026-01-20,에펨코리아,부정,0.7856
손흥민,그 나이에 지금 스피드면 전성기 선수 못지않음,2026-04-24,트위터,긍정,0.804
이강인,국대 경기에서 이강인 태도 보면 아직도 불안한 게 사실임,2026-03-29,에펨코리아,부정,0.845
황희찬,황희찬 빠진 울버햄튼 공격은 확실히 힘이 없어지는 게 보임,2026-01-18,트위터,긍정,0.8348
설영우,드디어 유럽 무대 밟은 거 팬으로서 진짜 뿌듯함,2026-04-19,네이버,긍정,0.9244
손흥민,젊은 선수들이 배워야 할 프로 정신을 갖고 있는 선수임,2026-02-25,네이버,긍정,0.8298
설영우,오버래핑 타이밍이랑 크로스 질은 즈베즈다에서도 눈에 띄는 수준임,2026-02-03,네이버,긍정,0.8928
김민재,대인마크 능력은 유럽에서도 손꼽히는 수준임,2026-01-08,트위터,긍정,0.8091
김민재,뮌헨 같은 팀에서 주전 자리 유지하는 게 얼마나 대단한 건지,2026-04-21,네이버,긍정,0.9052
설영우,설영우 보면 한국 풀백도 유럽에서 통한다는 걸 증명해줌,2026-04-23,트위터,긍정,0.9293
설영우,즈베즈다 팬들도 설영우 칭찬 많이 한다고 하더라,2026-03-29,트위터,긍정,0.8866
이강인,개인기량은 뛰어나지만 팀플레이어로서는 아직 의문이 있음,2026-02-11,트위터,부정,0.7905
황희찬,이 폼이면 더 큰 무대 가서도 충분히 통할 것 같음,2026-04-19,트위터,긍정,0.835
손흥민,MLS 와서도 기량 유지하는 거 보면 관리가 진짜 철저한 것 같음,2026-01-15,네이버,긍정,0.8975
김민재,복귀 후 경기력 보면 완전히 돌아왔다는 확신이 생김,2026-05-24,네이버,긍정,0.8971
황희찬,강팀 상대로도 골 넣는 거 보면 실력이 확실히 있는 선수임,2026-02-23,에펨코리아,긍정,0.8727
손흥민,이렇게 화려하게 커리어 마무리하는 선수가 또 있을까 싶음,2026-03-23,네이버,긍정,0.8817
이강인,그 사건 이후로 주변에서 이강인 얘기 꺼내기가 불편해짐,2026-01-19,트위터,부정,0.7936
이강인,성적이 좋아져도 과거 행동에 대한 진심 어린 반성이 보여야 함,2026-01-18,네이버,부정,0.8437
황희찬,한국 선수 중에서 황희찬만큼 유럽에서 완전히 자리 잡은 선수는 드묾,2026-05-11,트위터,긍정,0.8884
설영우,이번 시즌 어시스트 수 보면 유럽 적응 잘 하고 있는 거 맞음,2026-04-11,에펨코리아,긍정,0.9057
이강인,PSG 주전이라도 팬들 마음속 신뢰를 회복하는 건 다른 문제임,2026-05-25,에펨코리아,부정,0.904
황희찬,매 경기 전력을 다하는 모습이 진짜 프로 선수다운 자세임,2026-04-10,트위터,긍정,0.8394
황희찬,세계 최고 리그인 EPL에서 수 년째 활약하는 게 쉬운 일이 아님,2026-03-05,에펨코리아,긍정,0.8006
설영우,세르비아 리그에서 이 정도면 빅리그 스카우팅 충분히 가능함,2026-01-16,에펨코리아,긍정,0.8069
김민재,부상 전 폼을 80%만 회복해도 세계 최정상 수비수임,2026-04-20,트위터,긍정,0.949
이강인,이강인 잘한다는 소식 들을 때마다 복잡한 감정이 드는 게 사실,2026-05-11,에펨코리아,부정,0.7986
손흥민,손흥민 덕분에 한국 축구가 전 세계적으로 제대로 인정받게 됨,2026-05-03,에펨코리아,긍정,0.8331
이강인,빅클럽에서 뛰는 건 좋은데 그 사건을 쉽게 잊어서는 안 된다고 봄,2026-04-07,에펨코리아,부정,0.8135
김민재,부상 전이랑 비교하면 확실히 집중력이 떨어진 경기가 있음,2026-03-25,에펨코리아,부정,0.9033
설영우,드디어 해외에서 본인 실력 증명할 무대 생긴 거 진짜 잘 됐음,2026-02-05,네이버,긍정,0.8342
황희찬,황희찬 없었으면 울버햄튼이 이 순위도 힘들었을 것 같음,2026-04-14,네이버,긍정,0.8628
김민재,예전엔 공중볼 거의 다 잡았는데 요즘은 실수가 나오는 게 보임,2026-05-26,에펨코리아,부정,0.8227
